,College Name,Place,Approval,Establishment,University Type,College Rating,College Summary
15,IIM Shillong,"Shillong,  Meghalaya",UGC,Estd 1936,Deemed to be University,8.5,"TISS also known as Tata Institute of Social Sciences (TISS) is a Multi-campus Research University in Mumbai. TISS is known for its interdisciplinary approach to social sciences. TISS is ranked 98 in the University Category by NIRF 2023. TISS HRM intake is 60. TISS Mumbai offers PG & Doctoral Programs in various specializations. Admission to the PG programs are based on CUET PG Exam followed by Personal Interview. Earlier, TISS Mumbai admissions were conducted through an institute-level examination TISSNET, but now TISS has announced that for the academic year 2024 -25, it will consider CUET PG for admission into all its PG programs."
16,IIM Mumbai (NITIE),"Mumbai,  Maharashtra",AICTE,Estd 1995,Public,8.8,"IIT Bombay MBA established in 1995, is a part of IIT Bombay. SJMSOM offers a two-year flagship MBA program in management as well as Doctoral Programs in Management. The College was ranked 10th by NIRF 2023 and 10th by IIRF 2024. The school also offers short-term programs in areas of management for the faculty of technical and management institutions during the Summer and winter seasons. IIT Bombay MBA admission are done on the basis of CAT / GMAT. For the Doctoral Program, the candidates are required to submit an SOP on the proposed area of research. The Shortlisted candidates will be called for an interview. SJMSOM CAT Cutoff 2024 is 90 percentile. Check SJMSOM Cutoff"
17,TISS,"Mumbai,  Maharashtra","AICTE, UGC, NBA",Estd 1993,Public,8.7,Why MBA from DMS IIT Delhi?
18,SJMSOM IIT Bombay,"Mumbai,  Maharashtra",AICTE,Estd 1978,Private,8.5,"SIBM Pune - Symbiosis Institute of Business Management Pune is a Constituent of Symbiosis International (deemed) University. Established in 1978, SIBM Pune is known for its vast Alumni Network, Coursework & Student - Centered Culture. SIBM Pune is ranked 17th by NIRF 2023 in the Management Category."
19,DMS IIT Delhi,"New Delhi,  Delhi NCR","MCI, UGC",Estd 1956,Autonomous University,8.4,"AIIMS Delhi is India’s Best Medical Institute established in the year 1956 in the capital city, New Delhi. AIIMS Delhi is an Institute of National Importance offering medical and para-medical courses at undergraduate and postgraduate levels. AIIMS Delhi has been ranked 1st in the Medical Category in NIRF Ranking 2023. The institute is also ranked 6th under the 'Overall' Category by NIRF 2023. All India Institute of Medical Sciences (AIIMS), Delhi is the first institute in the group to be established in the country under the Ministry of Health & Family Welfare and governance of the AIIMS Act, 1956."
20,SIBM Pune,"Pune,  Maharashtra",AACSB,Estd 2008,Private,8.2,"School of Business Management (SBM) is a Department for Management studies functioning under NMIMS University, Mumbai. The institute comes among the premier private B-schools in India with AACSB accreditation is ranked 4th in the Outlook-ICARE MBA rankings 2020 for Private B-Schools. This department offers management programs like MBA, Executive MBA, Enterprise Training for women, Management Development Programs, and Ph.D. in Management. Admission to the NMIMS SBM based on the entrance exam namely NMIMS-NMAT at the institute level. "
21,AIIMS Delhi,"New Delhi,  Delhi NCR",AACSB,Estd 2011,Autonomous University,8.6,"IIM Udaipur is among the new IIMs, established in 2011, and has been ranked 16th by NIRF 2023. IIM Udaipur is known for its flagship MBA program, which offers admission through the CAT, followed by a personal interview conducted through CAP. IIM Udaipur cut-off is 94 percentile (overall) for the personal interview round."
22,ISB Hyderabad,"Hyderabad,  Telangana",MHRD,Estd 2010,Autonomous University,8.0,Why MBA from IIM Raipur?
23,SBM NMIMS Mumbai,"Mumbai,  Maharashtra",UGC,Estd 2011,Autonomous University,8.4,"IIM Trichy is one of the fastest-growing second-generation IIMs, established in 2011. It is one of the premier management institutes with a full-fledged state-of-art campus, spread over 176 acres. IIM Trichy was ranked 22nd by NIRF 2023, among the top B-schools in India. At IIM Trichy, the minimum CAT percentile for the 2023-25 batch was 92 percentile for PGP. A total of 151272 general category candidates selected IIM Trichy as their CAT preference of which 9543 were shortlisted for the WAT PI round and 828 of them received the final offer. "
24,IIM Udaipur (IIMU),"Udaipur,  Rajasthan",UGC,Estd 1993,Private,7.9,"SCMHRD (Symbiosis Centre for Management and Human Resource Development) is a Premier B-School situated in Pune. Established in 1993, SCMHRD is known for producing Quality Talent in the HR, Marketing field, 100% Placement Records. SCMHRD offers a 2-year flagship MBA program with an intake of 180 students. The Institute offers specializations in HR, Finance, Marketing, Operations, Business Analytics, and Infrastructure Development and Management."
25,IIM Raipur (IIMR),"Raipur,  Chhattisgarh","MHRD, AACSB",Estd 2009,Autonomous University,9.0,
26,IIM Trichy,"Tiruchirappalli,  Tamil Nadu",AICTE,Estd 1993,Private (Autonomous),8.7,
27,SCMHRD,"Pune,  Maharashtra",AMBA,Estd 2009,Autonomous University,8.2,"Reflecting on my time at IIM Rohtak, I am filled with gratitude for the enriching experiences and personal growth it has afforded me. Each day has been a stepping stone in my journey, marked by memorable moments and cherished friendships. Let's explore this transformative experience together. "
28,IIM Ranchi,"Ranchi,  Jharkhand",AACSB,Estd 2011,Autonomous University,8.2,"IIM Kashipur is among the second-generation IIMs established in 2011. IIM Kashipur was ranked 19th by NIRF 2023 among the top management institutes in India. IIM Kashipur is known for its 2-year flagship MBA program which offers admission through CAT. The cutoff is 94 percentile overall and 73 percentile for sectional. IIM Kashipur MBA fee is INR 17.30 lakhs, whereas IIM Kashipur average package stood at INR 18.11 LPA and IIM Kashipur highest package stood at INR 37 LPA for the batch 2023."
29,VGSOM,"Kharagpur,  West Bengal","AICTE, NBA, AIU, AACSB",Estd 1980,Private,8.6,"Institute of Management Technology, Ghaziabad popularly known as IMT Ghaziabad is one of the oldest and top private B-schools and was established in 1980. IMT Ghaziabad was ranked 38th by NIRF 2023. It has also been consistently ranked among the top 20 business schools and top 10 private business schools in the country. IMT Ghaziabad is known for its flagship 2-year PGDM program, which accepts admission through CAT, XAT and GMAT. IMT Ghaziabad PGDM cut-off is expected to be above 90 percentile for both CAT and XAT. IMT Ghaziabad PGDM fees is INR 21.53 lakh for 2 years whereas the average offered was INR 17.35 LPA. Apart from Ghaziabad, IMT also has campuses in Nagpur and Hyderabad. There is a common application form for all campuses. "
30,IIM Rohtak,"Rohtak,  Haryana",CRISIL,Estd 1987,Private,8.1,"XIMB (Xavier Institute of Management Bhubaneswar) established in 1987, has been recognized as a premier business school with a legacy of 30 years. Since 2013, XIMB has been a constituent business school of Xavier University, Bhubaneswar. XIMB was ranked 46th by NIRF 2023 among the top management institutes in India. XIMB is known for its flagship MBA program. XIMB Intake is 356 students. "
31,IIM Kashipur,"Kashipur,  Uttarakhand","AICTE, NBA",Estd 1991,Private (Autonomous),8.6,"MICA, established in 1991 is a well-known residential institute to offer PGDM in Strategic Marketing and Communication. MICA Ahmedabad was ranked 37th by NIRF 2023 among the top management institutes in India. MICA Ahmedabad is known for its flagship 2-year PGDM in Communication (PGDM-C) program. MICA PGDM intake is 180. "
32,IMT Ghaziabad (IMT G),"Ghaziabad,  Uttar Pradesh",AICTE,Estd 1947,Private,,
33,XIMB,"Bhubaneswar,  Odisha",MHRD,Estd 2015,Autonomous University,8.2,"IIM Bodh Gaya, established in 2015 is one of the prestigious management institutes, which has been ranked 53rd among the top management institutes in India by NIRF 2023. IIM Bodh Gaya offers MBA, IPM and PhD courses in various areas of management. IIM Bodh Gaya MBA fees is 15.5 Lakhs whereas IIM Bodh Gaya Average Package stood at INR 15.68 LPA which was increased by 30.5% whereas IIM Bodh Gaya Highest Package increased by 103.9% which stood at INR 48.5 LPA."
34,MICA,"Ahmedabad,  Gujarat","INC, MCI, UGC",Estd 1962,Autonomous University,7.9,"According to the PGIMER Chandigarh NIRF Report 2023, the median package during PGIMER Placements stood at INR 17 LPA for PG (3-Year) Batch and INR 8 LPA for PG (2-Year) Batch. A total of 205 students of the institute are placed in its 2022 Placement Drive. Top recruiters visiting the PGIMER Placements are Apollo Hospital, Fortis Hospital, Manipal Hospital, AIIMS, and others. "
35,"Indian Institute of Science, Department of Management Studies  - [DMSIISC], Bangalore","Bangalore,  Karnataka",BCI,Estd 1987,State University,8.8,"National Law School of India University (NLSIU) is a government university in Bangalore. Established in 1986, NLSIU was the first national law university to be set up in India. Considered one of the top law schools in India, NLSIU Bangalore is ranked #1 among top law universities/schools in India by various organizations such as NIRF, Outlook, India Today, etc. "
36,IIM Nagpur (IIMN),"Nagpur,  Maharashtra",UGC,Estd 2016,Autonomous University,8.0,"IIM Jammu is the youngest IIMs established in 2016. IIM Jammu was ranked 41st by NIRF 2023. IIM Jammu is known for its 2 year flagship MBA program, which offers admission through CAT. IIM Jammu cut-off is 94 percentile. But the candidates who have a score above 94 percentile have more chances of getting shortlisted for personal interview, through CAP."
37,IIM Bodh Gaya (IIM - BG),"Gaya,  Bihar",MHRD,Estd 2015,Autonomous University,8.7,"IIM Sambalpur is among the new IIMs established in 2015, by the Government of India. IIM Sambalpur was ranked 58th by NIRF 2023. IIM Sambalpur is known for its 2-year flagship MBA programme and admissions are held via CAP along with 9 other baby IIMs. IIM Sambalpur cut-off is 94 percentile. IIM Sambalpur MBA fees is INR 17.86 Lakh, whereas IIM Sambalpur average package stood at INR 16.64 LPA and IIM Sambalpur highest package stood at INR 64.61 LPA for the 2023 batch."
38,PGIMER Chandigarh,"Chandigarh,  Chandigarh","ICAR, UGC",Estd 1905,Deemed to be University,8.8,"Indian Agricultural Research Institute (IARI) popularly known as Pusa Institute is India's premier national Institute for agricultural research, education and extension. The Institute is situated in Delhi and is financed and administered by the Indian Council of Agricultural Research (ICAR).IARI has the status of a ‘Deemed-to-be-University’ under the UGC Act of 1956. "
39,NLSIU Bangalore,"Bangalore,  Karnataka",MHRD,Estd 2015,Autonomous University,8.0,"IIM Sirmaur, established in 2015, is the 3rd generation IIM mentored by IIM Lucknow. The institute was ranked 98th by NIRF 2023 among the top management Institutes in India. IIM Sirmaur offers MBA and MBA in Tourism program, the institute also offers Executive MBA, Ex-MBA in Digital Transformation & Analytics, and various Ph.D. programs such as Executive Ph.D. and Ph.D. (AICTE-QIP). IIM Sirmaur MBA fees is INR 16 Lakhs for the 2-year program."
40,IIM Jammu,"Jammu,  Jammu and Kashmir",UGC,Estd 2008,Autonomous University,8.5,"Indian Institute of Technology, Hyderabad, a public technical research institution, is situated in Telangana's Sangareddy district in Hyderabad, India. IITH was established in 2008 and is an Institute of National Importance (INI) established by the Ministry of Human Resource Development. IIT Hyderabad is ranked 14th overall and 8th under the ""Engineering"" category in the NIRF 2023 Rankings. IIT offers 30+ UG and PG courses including engineering, science, liberal arts, design, and management."
41,IIM Sambalpur (IIM - SBP),"Sambalpur,  Odisha","AICTE, NBA, AACSB, AMBA",Estd 1981,Private,8.3,"IMI Delhi is India's first corporate-sponsored business school established in 1981. The college is ranked 34th by NIRF 2023 in Management category and 11th in India by Business Today 2023. IMI Delhi offers PGDM, PGDM (HRM), PGDM (B&FS), 18 - Month PGDM (Executives), and FPM (Doctoral Program)."
42,Indian Agricultural Research Institute (IARI),"New Delhi,  Delhi NCR","AICTE, AIU, AACSB, AMBA",Estd 1980,Private,8.4,"TAPMI or T. A. Pai Management Institute is one of the Top Management Institutes in India and was established in 1980. Located in the serene hills of Manipal, TAPMI was ranked 42nd by NIRF 2023 and is one of the 19 B-schools in India to be accredited by the AACSB. TAPMI offers MBA and PhD courses, but is more famous for its flagship MBA program which is offered in General, HR, BKFS, Marketing and International Business domains."
43,"IIM Sirmaur - Placements, Fees, Average Package, Cut off, New Campus, Admission 2024, Ranking, Courses","Sirmaur,  Himachal Pradesh","AICTE, NBA, AIU",Estd 1979,Private,7.0,"Institute of Rural Management Anand is a premier business school located in Gujarat, India. IRMA has secured 54th rank among the best business schools in India by NIRF Ranking 2023. The 2-year fully residential PGDM (RM) is the flagship program of IRMA Anand. Admissions to the 240 PGDM (RM) seats are based on the CAT/XAT/CMAT/GMAT scores, followed by Written Ability Test and Personal Interview."
44,IIT Hyderabad (IITH),"Hyderabad,  Telangana",AICTE,Estd 1973,Government,8.1,"Department of Business Economics (DBE), located in New Delhi was established in 1973 and is one of the top-ranked colleges in North India.The department has been illustrating the exceptional knowledge and learning deliverables since its exceptions. The flagship business program at this niche business school is its two-year full-time MBA in Business Economics with specialisation in Finance, Econometrics and Marketing . DBE DU offers M Phil and Ph.D. programmes to which admissions are made in accordance with the rules of the University of Delhi. Students applying for MBA at the DBE DU must have valid and eligible CAT scores to get admission. To get admission to the MPhil and PhD level programmes, the department follows the admission process of the DU. Check Department of Business Economics Courses & Fees"
45,IMI Delhi,"New Delhi,  Delhi NCR","AICTE, NBA, AIU",Estd 1981,Private,7.4,"FORE School of Management is a private business school located in South Delhi. The B-School is ranked 63rd among Top Management Colleges in India by NIRF in 2023. The School is known for its PGDM courses in International Business, Financial Management, Big Data Analytics electives. Apart from PGDM/ MBA course, the college also offers Executive MBA and FPM programs."
46,T A Pai Management Institute,"Manipal,  Karnataka","AICTE, UGC",Estd 2008,Private,8.3,"SIBM Bangalore is a constituent college of Symbiosis International University established in 2008. SIBM offers MBA in various specializations and Executive MBA Part-time. SIBM Bangalore MBA Admissions are conducted based on a valid score on the SNAP (Symbiosis National Aptitude Test) Entrance Test, followed by Personal Interview, Written Ability Test and Group Exercise."
47,IRMA Anand,"Anand,  Gujarat","AICTE, AMBA",Estd 2008,Deemed to be University,7.9,"NMIMS Bangalore is one of the leading business schools, established in 2008 at Koramangala. NMIMS Bangalore has been ranked 30 by Business Today Ranking 2023 among the top B-Schools in India. It has also been ranked 32nd among the top private B-Schools in India by IIRF Ranking 2024. "
48,DBE DU,"New Delhi,  Delhi NCR",AICTE,Estd 1983,Public,8.0,"SIMSREE (Sydenham Institute of Management Studies, Research and Entrepreneurship Education), established in 1983, is a government management institute, operated by the Government of Maharashtra. SIMSREE has been ranked 25th by IIRF 2024. SIMSREE is known for its flagship MMS program, and admission is done through DTE."
49,FORE Delhi,"New Delhi,  Delhi NCR",UGC,Estd 1956,Public,8.5,"Lady Shri Ram College (LSR) is one of the constituent colleges of Delhi University. Lady Shri Ram College was established in the year 1956. In the country-wide NIRF Rankings, LSR has been ranked among the top 5 colleges and is accredited with a grade of ‘A++’ by the NAAC.  It is also approved by the UGC and is recognized by the Ministry of Human Resource Development (MHRD)."
50,SIBM Bangalore,"Bangalore,  Karnataka","AICTE, NBA, AACSB",Estd 1995,Private,7.6,"JAGSOM (Jagdish Sheth School of Management) formerly IFIM Business School, Bangalore is an AICTE approved institution. Jagdish Sheth School of Management (JAGSoM) is amongst the first 6 business schools in India to be awarded AACSB accreditation. JAGSoM was ranked 26th by Business Today Ranking 2023 and is amongnst the 12 leading Indian B-schools. It is accredited by AACSB and features in the QS World University Global Ranking 2023."
51,"NMIMS University, Bangalore","Bangalore,  Karnataka","AICTE, NBA, AIU, AACSB",Estd 1981,Private,8.0,Why MBA from KJ Somaiya?
52,SIMSREE Mumbai,"Mumbai,  Maharashtra","AICTE, NBA",Estd 1977,Private,8.0,"Prin. L. N. Welingkar Institute of Management Development & Research, also known as Welingkar is one of the top management colleges in India. The college has two campuses, i.e. Mumbai and Bangalore. WeSchool Mumbai is known for its 2-year full-time flagship PGDM program to its students. Apart from this, the college also offers a PGDM program in Business Design, E-Business, Research & Business Analytics, Healthcare Management, Retail Management, Rural Management, Media & Entertainment. Admission to the PGDM programs of the college is offered o the basis of  CAT, XAT, ATMA, CMAT and GMAT scores. WeSchool's Unique Profile-based selection process assigns significant value to academic performances, work experience, Group Activity, Personal Interviews along with written test scores."
53,Lady Shri Ram College for Women (LSR),"New Delhi,  Delhi NCR",AICTE,Estd 1995,Private,8.0,
54,SIIB Pune,"Pune,  Maharashtra",AICTE,Estd 2003,Private,8.3,"Taxila Business School , Jaipur (TBS), is one of the best management institutes in Jaipur. Taxila offers 2 years PGDM + SAP with Business Analytics program recognized by AICTE. Taxila Business School Admissions is through various entrance tests such as CAT/MAT/XAT/CMAT or GMAT."
55,JAGSOM,"Bangalore,  Karnataka","AICTE, NBA, AIU, AACSB",Estd 1988,Private (Autonomous),7.8,"Birla Institute of Management Technology (BIMTECH) is one of the top management institutes in India, established in 1988, and is supported by the Birla group of companies. BIMTECH has been ranked 48th by NIRF 2023 among the top 100 management institutes in India. BIMTECH offers a 2-year flagship PGDM program and offers 240 seats + 45 Supernumerary seats. "
56,KJ Somaiya Institute of Management,"Mumbai,  Maharashtra","AICTE, NBA, AACSB",Estd 1995,Private,7.8,"Established in 1995, LBSIM stands as one of the premier business schools in Delhi NCR, consistently ranking among the top five. The institute has earned its place among the top 20 private B-schools and the top 50 overall. Offering a flagship full-time PGDM program admitting 180 students, LBSIM provides specialization options across four areas."
57,Welingkar Mumbai (We School),"Mumbai,  Maharashtra","AICTE, NBA",Estd 2014,Private (Autonomous),8.4,Management Institute of Development (MDI) in Murshidabad is a private college offering a Postgraduate Diploma in Management with four specializations. MDIM has another branch in Gurugram commonly known as MDIG. Admission to PGDM is via the CAT entrance exam.
58,UBS Chandigarh,"Chandigarh,  Chandigarh","NBA, AACSB, AMBA",Estd 2014,Private,8.3,"Woxsen School of Business, Hyderabad was established in 2014 and offers diverse degree programs catering to a range of academic pursuits. Woxsen offers industry-responsive UG and PG degree programs, leading to new-age careers. Robust curriculum is meticulously designed to empower students with frameworks to lay business and technological foundations as corporate leaders, skilled professionals and entrepreneurs."
59,Taxila Business School,"Jaipur,  Rajasthan","CRISIL, AACSB",Estd 1995,Private,8.3,"IBS Hyderabad is a constituent of the ICFAI Foundation established in the year 1995 in Hyderabad, Telangana. IBS Hyderabad is approved by AICTE, UGC and AIU. It is one of the 19 business schools in the country to have received the globally accepted AACSB accreditation. IBS Hyderabad is ranked 40th by NIRF 2023 and 23rd by Business Today Ranking 2023, among the top B-Schools in India. IBS Hyderabad offers MBA as its flagship program."
60,BIMTECH,"Greater Noida,  Uttar Pradesh",NBA,Estd 1996,Private,8.5,"Institute of Management, Nirma University (IMNU) offers flagship course of MBA in various specialisations and 2 intergrated courses. The institute also provides PhD (Full-time and Part time) and Diploma courses. Admission to the MBA course is based on valid scores in CAT followed by Personal Interview Round and Theme Development & Presentation (TDP) whereas Admission to BBA-MBA integrated program is based on valid scores in IPMAT. Admission to integrated B.Tech-MBA is based on valid scores in JEE Main. The total fees for MBA program is INR 10.88 Lacs"
61,LBSIM,"New Delhi,  Delhi NCR",AICTE,Estd 1997,Private Institute,7.9,"SIES School of Business Studies has been ranked 22nd by Times B- School among All B-Schools in India. The most popular course offered at the institute is PGDM, PGDM Biotechnology and PGDM Pharmaceutical Management. These courses are offered in 5 specializations: Marketing, Finance, Operations, Information Technology and Business Analytics."
62,MDI Murshidabad,"Murshidabad,  West Bengal",AICTE,Estd 2017,Private,,"Established in 2014, Dr. D.Y. Patil B-School, Pune is a private college under Dr. D. Y. Patil Vidyapeeth, approved by AICTE. It has been ranked 19th among the top management institutes in India by Time B School 2023. The college offers a 2 year Post Graduate Diploma in Management (PGDM) and a Post Graduate Diploma in Management-Business Administration (PGDM BA). The admission into the PGDM Course at Dr. D.Y. Patil B-School, candidates must appear for at least one national level exam like CAT, MAT, XAT, CMAT or ATMA. The institute is accepting applications for the academic year 2024. Candidates may apply to the courses by filling out the application form available on Dr. D.Y. Patil B-School’s official website. "
63,WOXSEN School of Business,"Hyderabad,  Telangana","AICTE, NBA, AIU",Estd 1993,Private,7.7,Apeejay School of Management (ASM) is ranked among the top league of 20 B-School in India. ASM Dwarka is famous for its PGDM/ MBA program and has a record of providing 95% placement to students. More than 130+ companies visited for on-campus recruitment. The highest package was recorded at INR 20.1 LPA. It offers a full-time Post Graduate Diploma in Management (PGDM) program.
64,IBS Hyderabad Admission 2024,"Hyderabad,  Telangana",AICTE,Estd 1982,Public Institute (Autonomous),8.8,"The Indian Institute of Forest Management (IIFM), Bhopal was founded in 1982 is an autonomous institution under the Ministry of Environment, Forest and Climate Change, Government of India, IIFM was conceptualized in response to the recommendations of the National Commission on Agriculture. This culminated in an alliance with the Indian Institute of Management, Ahmedabad and IIFM evolved.  "
65,Institute of Management Nirma University (IMNU),"Ahmedabad,  Gujarat",AICTE,Estd 1991,Private,8.2,"XIME Bangalore was established in 1991 and is one of the top B-Schools of India, with two other residential campuses in Chennai and Kochi. Since its inception, XIME has been shaping future leaders and hence contributing towards nation-building. The institute believe there are multiple paths towards true leadership. And at XIME, it provides the environment for each student to discover their own. For some, it’s discovering hidden facets of themselves that inspire others. For most, the two years spent on XIME’s stimulating, challenging, yet nurturing campus have been transformative."
66,SIES School of Business Studies,"Mumbai,  Maharashtra",MCI,Estd 1900,Private Institute,8.8,The following table consists of highlights of CMC Vellore: 
67,Dr. D.Y. Patil B-School,"Pune,  Maharashtra",AICTE,Estd 1996,Private,8.9,
68,"Department of Commerce, DU","New Delhi,  Delhi NCR","AICTE, UGC",Estd 2009,Private,8.1,"International School of Management Studies [ISMS] Pune, Maharashtra was established in 2009. The institute is accredited by Edexcel- UK. ISMS is affiliated to Savitribai Phule Pune University and approved by All India Council for Technical Education (AICTE) and University Grants Commission (UGC). The institute has won Enterpreneurial & Innovative Excellence Award by NIIEM, 2021 and Promising B-School of New Age by The Voices 2020. Further, the institute has ranked 11th in What if not in IIMS B-School Survey by Silicon India, 2021. "
